 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
5; H49.320;Obratovanje taksijev;Taxi operation; H49.32;
4; H49.39;Drug kopenski potniški promet;Other passenger land transport n.e.c.; H49.3;
5; H49.391;Medkrajevni in drug cestni potniški promet;Interurban and other passenger road transport; H49.39;
5; H49.392;Obratovanje žiènic;Operation of teleferics, funiculars, ski and cable lifts; H49.39;
3; H49.4;Cestni tovorni promet ter selitvena dejavnost;Freight transport by road and removal services; H49;
4; H49.41;Cestni tovorni promet;Freight transport by road; H49.4;
5; H49.410;Cestni tovorni promet;Freight transport by road; H49.41;
4; H49.42;Selitvena dejavnost;Removal services; H49.4;
5; H49.420;Selitvena dejavnost;Removal services; H49.42;
3; H49.5;Cevovodni transport;Transport via pipeline; H49;
4; H49.50;Cevovodni transport;Transport via pipeline; H49.5;
5; H49.500;Cevovodni transport;Transport via pipeline; H49.50;
2; H50;Vodni promet;Water transport; H;
3; H50.1;Pomorski potniški promet;Sea and coastal passenger water transport; H50;
4; H50.10;Pomorski potniški promet;Sea and coastal passenger water transport; H50.1;
5; H50.100;Pomorski potniški promet;Sea and coastal passenger water transport; H50.10;
3; H50.2;Pomorski tovorni promet;Sea and coastal freight water transport; H50;
4; H50.20;Pomorski tovorni promet;Sea and coastal freight water transport; H50.2;
5; H50.200;Pomorski tovorni promet;Sea and coastal freight water transport; H50.20;
3; H50.3;Potniški promet po celinskih vodah;Inland passenger water transport; H50;
4; H50.30;Potniški promet po celinskih vodah;Inland passenger water transport; H50.3;
5; H50.300;Potniški promet po celinskih vodah;Inland passenger water transport; H50.30;
3; H50.4;Tovorni promet po celinskih vodah;Inland freight water transport; H50;
4; H50.40;Tovorni promet po celinskih vodah;Inland freight water transport; H50.4;
5; H50.400;Tovorni promet po celinskih vodah;Inland freight water transport; H50.40;
2; H51;Zraèni promet;Air transport; H;
3; H51.1;Potniški zraèni promet;Passenger air transport; H51;
4; H51.10;Potniški zraèni promet;Passenger air transport; H51.1;
5; H51.100;Potniški zraèni promet;Passenger air transport; H51.10;
3; H51.2;Tovorni zraèni in vesoljski promet;Freight air transport and space transport; H51;
4; H51.21;Tovorni zraèni promet;Freight air transport; H51.2;
5; H51.210;Tovorni zraèni promet;Freight air transport; H51.21;
4; H51.22;Vesoljski promet;Space transport; H51.2;
5; H51.220;Vesoljski promet;Space transport; H51.22;
2; H52;Skladišèenje in spremljajoèe prometne dejavnosti;Warehousing and support activities for transportation; H;
3; H52.1;Skladišèenje;Warehousing and storage; H52;
4; H52.10;Skladišèenje;Warehousing and storage; H52.1;
5; H52.100;Skladišèenje;Warehousing and storage; H52.10;
3; H52.2;Spremljajoèe prometne dejavnosti;Support activities for transportation; H52;
4; H52.21;Spremljajoèe storitvene dejavnosti v kopenskem prometu;Service activities incidental to land transportation; H52.2;
5; H52.210;Spremljajoèe storitvene dejavnosti v kopenskem prometu;Service activities incidental to land transportation; H52.21;
4; H52.22;Spremljajoèe storitvene dejavnosti v vodnem prometu;Service activities incidental to water transportation; H52.2;
5; H52.220;Spremljajoèe storitvene dejavnosti v vodnem prometu;Service activities incidental to water transportation; H52.22;
4; H52.23;Spremljajoèe storitvene dejavnosti v zraènem prometu;Service activities incidental to air transportation; H52.2;
5; H52.230;Spremljajoèe storitvene dejavnosti v zraènem prometu;Service activities incidental to air transportation; H52.23;
4; H52.24;Pretovarjanje;Cargo handling; H52.2;
5; H52.240;Pretovarjanje;Cargo handling; H52.24;
4; H52.29;Špedicija in druge spremljajoèe prometne dejavnosti;Other transportation support activities; H52.2;
5; H52.290;Špedicija in druge spremljajoèe prometne dejavnosti;Other transportation support activities; H52.29;
2; H53;Poštna in kurirska dejavnost;Postal and courier activities; H;
3; H53.1;Izvajanje univerzalne poštne storitve;Postal activities under universal service obligation; H53;
4; H53.10;Izvajanje univerzalne poštne storitve;Postal activities under universal service obligation; H53.1;
5; H53.100;Izvajanje univerzalne poštne storitve;Postal activities under universal service obligation; H53.10;
3; H53.2;Druga poštna in kurirska dejavnost;Other postal and courier activities; H53;
4; H53.20;Druga poštna in kurirska dejavnost;Other postal and courier activities; H53.2;
5; H53.200;Druga poštna in kurirska dejavnost;Other postal and courier activities; H53.20;
1; I;GOSTINSTVO;ACCOMMODATION AND FOOD SERVICE ACTIVITIES; ;
2; I55;Gostinske nastanitvene dejavnosti;Accommodation; I;
3; I55.1;Dejavnost hotelov in podobnih nastanitvenih obratov;Hotels and similar accommodation; I55;
4; I55.10;Dejavnost hotelov in podobnih nastanitvenih obratov;Hotels and similar accommodation; I55.1;
5; I55.100;Dejavnost hotelov in podobnih nastanitvenih obratov;Hotels and similar accommodation; I55.10;
3; I55.2;Dejavnost poèitniških domov in podobnih nastanitvenih obratov za kratkotrajno bivanje;Holiday and other short stay accommodation; I55;
4; I55.20;Dejavnost poèitniških domov in podobnih nastanitvenih obratov za kratkotrajno bivanje;Holiday and other short stay accommodation; I55.2;
5; I55.201;Poèitniški domovi in letovišèa;Children and other holiday homes; I55.20;
5; I55.202;Turistiène kmetije s sobami;Tourist farm houses with lodging; I55.20;
5; I55.203;Oddajanje zasebnih sob gostom;Letting of private tourist rooms; I55.20;
5; I55.204;Planinski domovi in mladinska prenoèišèa;Mountain refuges and youth hostels; I55.20;
5; I55.209;Druge nastanitve za krajši èas;Other short-stay accommodation; I55.20;
3; I55.3;Dejavnost avtokampov, taborov;Camping grounds, recreational vehicle parks and trailer parks; I55;
4; I55.30;Dejavnost avtokampov, taborov;Camping grounds, recreational vehicle parks and trailer parks; I55.3;
5; I55.300;Dejavnost avtokampov, taborov;Camping grounds, recreational vehicle parks and trailer parks; I55.30;
3; I55.9;Dejavnost dijaških in študentskih domov ter druge nastanitve;Other accommodation; I55;
4; I55.90;Dejavnost dijaških in študentskih domov ter druge nastanitve;Other accommodation; I55.9;
5; I55.900;Dejavnost dijaških in študentskih domov ter druge nastanitve;Other accommodation; I55.90;
2; I56;Dejavnost strežbe jedi in pijaè;Food and beverage service activities; I;
3; I56.1;Dejavnost restavracij in druga strežba jedi;Restaurants and mobile food service activities; I56;
4; I56.10;Dejavnost restavracij in druga strežba jedi;Restaurants and mobile food service activities; I56.1;
5; I56.101;Restavracije in gostilne;Restaurants and inns; I56.10;
5; I56.102;Okrepèevalnice in podobni obrati;Snack bars and similar; I56.10;
5; I56.103;Slašèièarne in kavarne;Sweetshops and coffee-houses; I56.10;
5; I56.104;Zaèasni gostinski obrati;Provisory food-serving stands; I56.10;
5; I56.105;Turistiène kmetije brez sob;Tourist farm houses without lodging; I56.10;
3; I56.2;Priložnostna priprava in dostava jedi ter druga oskrba z jedmi;Event catering and other food services; I56;
4; I56.21;Priložnostna priprava in dostava jedi;Event catering activities; I56.2;
5; I56.210;Priložnostna priprava in dostava jedi;Event catering activities; I56.21;
4; I56.29;Druga oskrba z jedmi;Other food service activities; I56.2;
5; I56.290;Druga oskrba z jedmi;Other food service activities; I56.29;
3; I56.3;Strežba pijaè;Beverage serving activities; I56;
4; I56.30;Strežba pijaè;Beverage serving activities; I56.3;
5; I56.300;Strežba pijaè;Beverage serving activities; I56.30;
1; J;INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;INFORMATION AND COMMUNICATION; ;
2; J58;Založništvo;Publishing activities; J;
3; J58.1;Izdajanje knjig, periodike in drugo založništvo;Publishing of books, periodicals and other publishing activities; J58;
4; J58.11;Izdajanje knjig;Book publishing; J58.1;
5; J58.110;Izdajanje knjig;Book publishing; J58.11;
4; J58.12;Izdajanje imenikov in adresarjev;Publishing of directories and mailing lists; J58.1;
5; J58.120;Izdajanje imenikov in adresarjev;Publishing of directories and mailing lists; J58.12;
4; J58.13;Izdajanje èasopisov;Publishing of newspapers; J58.1;
5; J58.130;Izdajanje èasopisov;Publishing of newspapers; J58.13;
4; J58.14;Izdajanje revij in druge periodike;Publishing of journals and periodicals; J58.1;
5; J58.140;Izdajanje revij in druge periodike;Publishing of journals and periodicals; J58.14;
4; J58.19;Drugo založništvo;Other publishing activities; J58.1;
5; J58.190;Drugo založništvo;Other publishing activities; J58.19;
3; J58.2;Izdajanje programja;Software publishing; J58;
4; J58.21;Izdajanje raèunalniških iger;Publishing of computer games; J58.2;
5; J58.210;Izdajanje raèunalniških iger;Publishing of computer games; J58.21;
4; J58.29;Drugo izdajanje programja;Other software publishing; J58.2;
5; J58.290;Drugo izdajanje programja;Other software publishing; J58.29;
2; J59;Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi;Motion picture, video and television programme production, sound recording and music publishing activities; J;
3; J59.1;Filmska in video dejavnost;Motion picture, video and television programme activities; J59;
4; J59.11;Produkcija filmov, video filmov, televizijskih oddaj;Motion picture, video and television programme production activities; J59.1;
5; J59.110;Produkcija filmov, video filmov, televizijskih oddaj;Motion picture, video and television programme production activities; J59.11;
4; J59.12;Post produkcijske dejavnosti pri izdelavi filmov, video filmov, televizijskih oddaj;Motion picture, video and television programme post-production activities; J59.1;
5; J59.120;Post produkcijske dejavnosti pri izdelavi filmov, video filmov, televizijskih oddaj;Motion picture, video and television programme post-production activities; J59.12;
4; J59.13;Distribucija filmov, video filmov, televizijskih oddaj;Motion picture, video and television programme distribution activities; J59.1;
5; J59.130;Distribucija filmov, video filmov, televizijskih oddaj;Motion picture, video and television programme distribution activities; J59.13;
4; J59.14;Kinematografska dejavnost;Motion picture projection activities; J59.1;
5; J59.140;Kinematografska dejavnost;Motion picture projection activities; J59.14;
3; J59.2;Snemanje in izdajanje zvoènih zapisov in muzikalij;Sound recording and music publishing activities; J59;
4; J59.20;Snemanje in izdajanje zvoènih zapisov in muzikalij;Sound recording and music publishing activities; J59.2;
5; J59.200;Snemanje in izdajanje zvoènih zapisov in muzikalij;Sound recording and music publishing activities; J59.20;
2; J60;Radijska in televizijska dejavnost;Programming and broadcasting activities; J;
3; J60.1;Radijska dejavnost;Radio broadcasting; J60;
4; J60.10;Radijska dejavnost;Radio broadcasting; J60.1;
5; J60.100;Radijska dejavnost;Radio broadcasting; J60.10;
3; J60.2;Televizijska dejavnost;Television programming and broadcasting activities; J60;
4; J60.20;Televizijska dejavnost;Television programming and broadcasting activities; J60.2;
5; J60.200;Televizijska dejavnost;Television programming and broadcasting activities; J60.20;
2; J61;Telekomunikacijske dejavnosti;Telecommunications; J;
3; J61.1;Telekomunikacijske dejavnosti po vodih;Wired telecommunications activities; J61;
4; J61.10;Telekomunikacijske dejavnosti po vodih;Wired telecommunications activities; J61.1;
5; J61.100;Telekomunikacijske dejavnosti po vodih;Wired telecommunications activities; J61.10;
3; J61.2;Brezžiène telekomunikacijske dejavnosti;Wireless telecommunications activities; J61;
4; J61.20;Brezžiène telekomunikacijske dejavnosti;Wireless telecommunications activities; J61.2;
5; J61.200;Brezžiène telekomunikacijske dejavnosti;Wireless telecommunications activities; J61.20;
3; J61.3;Satelitske telekomunikacijske dejavnosti;Satellite telecommunications activities; J61;
4; J61.30;Satelitske telekomunikacijske dejavnosti;Satellite telecommunications activities; J61.3;
5; J61.300;Satelitske telekomunikacijske dejavnosti;Satellite telecommunications activities; J61.30;
3; J61.9;Druge telekomunikacijske dejavnosti;Other telecommunications activities; J61;
4; J61.90;Druge telekomunikacijske dejavnosti;Other telecommunications activities; J61.9;
5; J61.900;Druge telekomunikacijske dejavnosti;Other telecommunications activities; J61.90;
2; J62;Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti;Computer programming, consultancy and related activities; J;
3; J62.0;Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti;Computer programming, consultancy and related activities; J62;
4; J62.01;Raèunalniško programiranje;Computer programming activities; J62.0;
5; J62.010;Raèunalniško programiranje;Computer programming activities; J62.01;
4; J62.02;Svetovanje o raèunalniških napravah in programih;Computer consultancy activities; J62.0;
5; J62.020;Svetovanje o raèunalniških napravah in programih;Computer consultancy activities; J62.02;
4; J62.03;Upravljanje raèunalniških naprav in sistemov;Computer facilities management activities; J62.0;
5; J62.030;Upravljanje raèunalniških naprav in sistemov;Computer facilities management activities; J62.03;
4; J62.09;Druge z informacijsko tehnologijo in raèunalniškimi storitvami povezane dejavnosti;Other information technology and computer service activities; J62.0;
5; J62.090;Druge z informacijsko tehnologijo in raèunalniškimi storitvami povezane dejavnosti;Other information technology and computer service activities; J62.09;
2; J63;Druge informacijske dejavnosti;Information service activities; J;
3; J63.1;Obdelava podatkov in s tem povezane dejavnosti, obratovanje spletnih portalov;Data processing, hosting and related activities, web portals; J63;
4; J63.11;Obdelava podatkov in s tem povezane dejavnosti;Data processing, hosting and related activities; J63.1;
5; J63.110;Obdelava podatkov in s tem povezane dejavnosti;Data processing, hosting and related activities; J63.11;
4; J63.12;Obratovanje spletnih portalov;Web portals; J63.1;
5; J63.120;Obratovanje spletnih portalov;Web portals; J63.12;
3; J63.9;Dejavnosti tiskovnih agencij, drugo informiranje;Other information service activities; J63;
4; J63.91;Dejavnost tiskovnih agencij;News agency activities; J63.9;
5; J63.910;Dejavnost tiskovnih agencij;News agency activities; J63.91;
4; J63.99;Drugo informiranje;Other information service activities n.e.c.; J63.9;
5; J63.990;Drugo informiranje;Other information service activities n.e.c.; J63.99;
1; K;FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI;FINANCIAL AND INSURANCE ACTIVITIES; ;
2; K64;Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov;Financial service activities, except insurance and pension funding; K;
3; K64.1;Denarno posredništvo;Monetary intermediation; K64;
4; K64.11;Centralno banèništvo;Central banking; K64.1;
5; K64.110;Centralno banèništvo;Central banking; K64.11;
4; K64.19;Drugo denarno posredništvo;Other monetary intermediation; K64.1;
5; K64.190;Drugo denarno posredništvo;Other monetary intermediation; K64.19;
3; K64.2;Dejavnost holdingov;Activities of holding companies; K64;
4; K64.20;Dejavnost holdingov;Activities of holding companies; K64.2;
5; K64.200;Dejavnost holdingov;Activities of holding companies; K64.20;
3; K64.3;Dejavnost skrbniških in drugih skladov ter podobnih finanènih subjektov;Trusts, funds and similar financial entities; K64;
4; K64.30;Dejavnost skrbniških in drugih skladov ter podobnih finanènih subjektov;Trusts, funds and similar financial entities; K64.3;
5; K64.300;Dejavnost skrbniških in drugih skladov ter podobnih finanènih subjektov;Trusts, funds and similar financial entities; K64.30;
3; K64.9;Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov;Other financial service activities, except insurance and pension funding; K64;
4; K64.91;Dejavnost finanènega zakupa;Financial leasing; K64.9;
5; K64.910;Dejavnost finanènega zakupa;Financial leasing; K64.91;
4; K64.92;Drugo kreditiranje;Other credit granting; K64.9;
5; K64.920;Drugo kreditiranje;Other credit granting; K64.92;
4; K64.99;Drugje nerazvršèene dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov;Other financial service activities, except insurance and pension funding n.e.c.; K64.9;
5; K64.990;Drugje nerazvršèene dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov;Other financial service activities, except insurance and pension funding n.e.c.; K64.99;
2; K65;Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti;Insurance, reinsurance and pension funding, except compulsory social security; K;
3; K65.1;Dejavnost zavarovanja;Insurance; K65;
4; K65.11;Dejavnost življenjskega zavarovanja;Life insurance; K65.1;
5; K65.110;Dejavnost življenjskega zavarovanja;Life insurance; K65.11;
4; K65.12;Dejavnost zavarovanja, razen življenjskega;Non-life insurance; K65.1;
5; K65.120;Dejavnost zavarovanja, razen življenjskega;Non-life insurance; K65.12;
3; K65.2;Dejavnost pozavarovanja;Reinsurance; K65;
4; K65.20;Dejavnost pozavarovanja;Reinsurance; K65.2;
5; K65.200;Dejavnost pozavarovanja;Reinsurance; K65.20;
3; K65.3;Dejavnost pokojninskih skladov;Pension funding; K65;
4; K65.30;Dejavnost pokojninskih skladov;Pension funding; K65.3;
5; K65.300;Dejavnost pokojninskih skladov;Pension funding; K65.30;
2; K66;Pomožne dejavnosti za finanène in zavarovalniške storitve;Activities auxiliary to financial services and insurance activities; K;
3; K66.1;Pomožne dejavnosti za finanène storitve, razen za zavarovalništvo in pokojninske sklade;Activities auxiliary to financial services, except insurance and pension funding; K66;
4; K66.11;Upravljanje finanènih trgov;Administration of financial markets; K66.1;
5; K66.110;Upravljanje finanènih trgov;Administration of financial markets; K66.11;
4; K66.12;Posredništvo pri trgovanju z vrednostnimi papirji in borznim blagom;Security and commodity contracts brokerage; K66.1;
5; K66.120;Posredništvo pri trgovanju z vrednostnimi papirji in borznim blagom;Security and commodity contracts brokerage; K66.12;
4; K66.19;Druge pomožne dejavnosti za finanène storitve, razen za zavarovalništvo in pokojninske sklade;Other activities auxiliary to financial services, except insurance and pension funding; K66.1;
5; K66.190;Druge pomožne dejavnosti za finanène storitve, razen za zavarovalništvo in pokojninske sklade;Other activities auxiliary to financial services, except insurance and pension funding; K66.19;
3; K66.2;Pomožne dejavnosti za zavarovalništvo in pokojninske sklade;Activities auxiliary to insurance and pension funding; K66;
4; K66.21;Vrednotenje tveganja in škode;Risk and damage evaluation; K66.2;
5; K66.210;Vrednotenje tveganja in škode;Risk and damage evaluation; K66.21;
4; K66.22;Dejavnost zavarovalniških agentov;Activities of insurance agents and brokers; K66.2;
5; K66.220;Dejavnost zavarovalniških agentov;Activities of insurance agents and brokers; K66.22;
4; K66.29;Druge pomožne dejavnosti za zavarovalništvo in pokojninske sklade;Other activities auxiliary to insurance and pension funding; K66.2;
5; K66.290;Druge pomožne dejavnosti za zavarovalništvo in pokojninske sklade;Other activities auxiliary to insurance and pension funding; K66.29;
3; K66.3;Upravljanje finanènih skladov;Fund management activities; K66;
4; K66.30;Upravljanje finanènih skladov;Fund management activities; K66.3;
5; K66.300;Upravljanje finanènih skladov;Fund management activities; K66.30;
1; L;POSLOVANJE Z NEPREMIÈNINAMI;REAL ESTATE ACTIVITIES; ;
2; L68;Poslovanje z nepremièninami;Real estate activities; L;
3; L68.1;Trgovanje z lastnimi nepremièninami;Buying and selling of own real estate; L68;
4; L68.10;Trgovanje z lastnimi nepremièninami;Buying and selling of own real estate; L68.1;
5; L68.100;Trgovanje z lastnimi nepremièninami;Buying and selling of own real estate; L68.10;
3; L68.2;Oddajanje in obratovanje lastnih ali najetih nepremiènin;Renting and operating of own or leased real estate; L68;
4; L68.20;Oddajanje in obratovanje lastnih ali najetih nepremiènin;Renting and operating of own or leased real estate; L68.2;
5; L68.200;Oddajanje in obratovanje lastnih ali najetih nepremiènin;Renting and operating of own or leased real estate; L68.20;
3; L68.3;Poslovanje z nepremièninami za plaèilo ali po pogodbi;Real estate activities on a fee or contract basis; L68;
4; L68.31;Posredništvo v prometu z nepremièninami;Real estate agencies; L68.3;
5; L68.310;Posredništvo v prometu z nepremièninami;Real estate agencies; L68.31;
4; L68.32;Upravljanje nepremiènin za plaèilo ali po pogodbi;Management of real estate on a fee or contract basis; L68.3;
5; L68.320;Upravljanje nepremiènin za plaèilo ali po pogodbi;Management of real estate on a fee or contract basis; L68.32;
1; M;STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI;PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES; ;
2; M69;Pravne in raèunovodske dejavnosti;Legal and accounting activities; M;
3; M69.1;Pravne dejavnosti;Legal activities; M69;
4; M69.10;Pravne dejavnosti;Legal activities; M69.1;
5; M69.101;Odvetništvo;Legal representation; M69.10;
5; M69.102;Notariat;Activities of notaries public; M69.10;
5; M69.103;Druge pravne dejavnosti;Other legal activities; M69.10;
3; M69.2;Raèunovodske, knjigovodske in revizijske dejavnosti, davèno svetovanje;Accounting, bookkeeping and auditing activities, tax consultancy; M69;
4; M69.20;Raèunovodske, knjigovodske in revizijske dejavnosti, davèno svetovanje;Accounting, bookkeeping and auditing activities, tax consultancy; M69.2;
5; M69.200;Raèunovodske, knjigovodske in revizijske dejavnosti, davèno svetovanje;Accounting, bookkeeping and auditing activities, tax consultancy; M69.20;
2; M70;Dejavnost uprav podjetij, podjetniško in poslovno svetovanje;Activities of head offices, management consultancy activities; M;
3; M70.1;Dejavnost uprav podjetij;Activities of head offices; M70;
4; M70.10;Dejavnost uprav podjetij;Activities of head offices; M70.1;
5; M70.100;Dejavnost uprav podjetij;Activities of head offices; M70.10;
3; M70.2;Podjetniško in poslovno svetovanje;Management consultancy activities; M70;
4; M70.21;Dejavnost stikov z javnostjo;Public relation and communication activities; M70.2;
5; M70.210;Dejavnost stikov z javnostjo;Public relation and communication activities; M70.21;
4; M70.22;Drugo podjetniško in poslovno svetovanje;Business and other management consultancy activities; M70.2;
5; M70.220;Drugo podjetniško in poslovno svetovanje;Business and other management consultancy activities; M70.22;
2; M71;Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje;Architectural and engineering activities, technical testing and analysis; M;
3; M71.1;Arhitekturno in tehnièno projektiranje in s tem povezano svetovanje;Architectural and engineering activities and related technical consultancy; M71;
4; M71.11;Arhitekturna in urbanistièna dejavnost;Architectural activities; M71.1;
5; M71.111;Arhitekturno projektiranje;Architectural planning; M71.11;
5; M71.112;Krajinsko arhitekturno, urbanistièno in drugo projektiranje;Landscape architecture, urban and other planning; M71.11;
4; M71.12;Tehnièno projektiranje in s tem povezano svetovanje;Engineering activities and related technical consultancy; M71.1;
5; M71.121;Geofizikalne meritve, kartiranje;Geo-engineering and related activities; M71.12;
5; M71.129;Druge inženirske dejavnosti in tehnièno svetovanje;Other engineering activities and related techical consultancy; M71.12;
3; M71.2;Tehnièno preizkušanje in analiziranje;Technical testing and analysis; M71;
4; M71.20;Tehnièno preizkušanje in analiziranje;Technical testing and analysis; M71.2;
5; M71.200;Tehnièno preizkušanje in analiziranje;Technical testing and analysis; M71.20;
2; M72;Znanstvena raziskovalna in razvojna dejavnost;Scientific research and development; M;
3; M72.1;Raziskovalna in razvojna dejavnost na podroèju naravoslovja in tehnologije;Research and experimental development on natural sciences and engineering; M72;
4; M72.11;Raziskovalna in razvojna dejavnost na podroèju biotehnologije;Research and experimental development on biotechnology; M72.1;
5; M72.110;Raziskovalna in razvojna dejavnost na podroèju biotehnologije;Research and experimental development on biotechnology; M72.11;
4; M72.19;Raziskovalna in razvojna dejavnost na drugih podroèjih naravoslovja in tehnologije;Other research and experimental development on natural sciences and engineering; M72.1;
5; M72.190;Raziskovalna in razvojna dejavnost na drugih podroèjih naravoslovja in tehnologije;Other research and experimental development on natural sciences and engineering; M72.19;
3; M72.2;Raziskovalna in razvojna dejavnost na podroèju družboslovja in humanistike;Research and experimental development on social sciences and humanities; M72;
4; M72.20;Raziskovalna in razvojna dejavnost na podroèju družboslovja in humanistike;Research and experimental development on social sciences and humanities; M72.2;
5; M72.200;Raziskovalna in razvojna dejavnost na podroèju družboslovja in humanistike;Research and experimental development on social sciences and humanities; M72.20;
2; M73;Oglaševanje in raziskovanje trga;Advertising and market research; M;
3; M73.1;Oglaševanje;Advertising; M73;
4; M73.11;Dejavnost oglaševalskih agencij;Advertising agencies; M73.1;
5; M73.110;Dejavnost oglaševalskih agencij;Advertising agencies; M73.11;
4; M73.12;Posredovanje oglaševalskega prostora;Media representation; M73.1;
5; M73.120;Posredovanje oglaševalskega prostora;Media representation; M73.12;
3; M73.2;Raziskovanje trga in javnega mnenja;Market research and public opinion polling; M73;
4; M73.20;Raziskovanje trga in javnega mnenja;Market research and public opinion polling; M73.2;
5; M73.200;Raziskovanje trga in javnega mnenja;Market research and public opinion polling; M73.20;
2; M74;Druge strokovne in tehniène dejavnosti;Other professional, scientific and technical activities; M;
3; M74.1;Oblikovanje, aranžerstvo, dekoraterstvo;Specialised design activities; M74;
4; M74.10;Oblikovanje, aranžerstvo, dekoraterstvo;Specialised design activities; M74.1;
5; M74.100;Oblikovanje, aranžerstvo, dekoraterstvo;Specialised design activities; M74.10;
3; M74.2;Fotografska dejavnost;Photographic activities; M74;
4; M74.20;Fotografska dejavnost;Photographic activities; M74.2;
5; M74.200;Fotografska dejavnost;Photographic activities; M74.20;
3; M74.3;Prevajanje in tolmaèenje;Translation and interpretation activities; M74;
4; M74.30;Prevajanje in tolmaèenje;Translation and interpretation activities; M74.3;
5; M74.300;Prevajanje in tolmaèenje;Translation and interpretation activities; M74.30;
3; M74.9;Drugje nerazvršèene strokovne in tehniène dejavnosti;Other professional, scientific and technical activities n.e.c.; M74;
4; M74.90;Drugje nerazvršèene strokovne in tehniène dejavnosti;Other professional, scientific and technical activities n.e.c.; M74.9;
5; M74.900;Drugje nerazvršèene strokovne in tehniène dejavnosti;Other professional, scientific and technical activities n.e.c.; M74.90;
2; M75;Veterinarstvo;Veterinary activities; M;
3; M75.0;Veterinarstvo;Veterinary activities; M75;
4; M75.00;Veterinarstvo;Veterinary activities; M75.0;
5; M75.000;Veterinarstvo;Veterinary activities; M75.00;
1; N;DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES; ;
2; N77;Dajanje v najem in zakup;Rental and leasing activities; N;
3; N77.1;Dajanje motornih vozil v najem in zakup;Renting and leasing of motor vehicles; N77;
4; N77.11;Dajanje lahkih motornih vozil v najem in zakup;Renting and leasing of cars and light motor vehicles; N77.1;
5; N77.110;Dajanje lahkih motornih vozil v najem in zakup;Renting and leasing of cars and light motor vehicles; N77.11;
4; N77.12;Dajanje tovornjakov v najem in zakup;Renting and leasing of trucks; N77.1;
5; N77.120;Dajanje tovornjakov v najem in zakup;Renting and leasing of trucks; N77.12;
3; N77.2;Dajanje športne opreme in izdelkov za široko rabo v najem in zakup;Renting and leasing of personal and household goods; N77;
4; N77.21;Dajanje športne opreme v najem in zakup;Renting and leasing of recreational and sports goods; N77.2;
5; N77.210;Dajanje športne opreme v najem in zakup;Renting and leasing of recreational and sports goods; N77.21;
4; N77.22;Dajanje videokaset in plošè v najem;Renting of video tapes and disks; N77.2;
5; N77.220;Dajanje videokaset in plošè v najem;Renting of video tapes and disks; N77.22;
4; N77.29;Dajanje drugih izdelkov za široko rabo v najem in zakup;Renting and leasing of other personal and household goods; N77.2;
5; N77.290;Dajanje drugih izdelkov za široko rabo v najem in zakup;Renting and leasing of other personal and household goods; N77.29;
3; N77.3;Dajanje strojev, naprav in drugih opredmetenih sredstev v najem in zakup;Renting and leasing of other machinery, equipment and tangible goods; N77;
4; N77.31;Dajanje kmetijskih strojev in opreme v najem in zakup;Renting and leasing of agricultural machinery and equipment; N77.3;
5; N77.310;Dajanje kmetijskih strojev in opreme v najem in zakup;Renting and leasing of agricultural machinery and equipment; N77.31;
4; N77.32;Dajanje gradbenih strojev in opreme v najem in zakup;Renting and leasing of construction and civil engineering machinery and equipment; N77.3;
5; N77.320;Dajanje gradbenih strojev in opreme v najem in zakup;Renting and leasing of construction and civil engineering machinery and equipment; N77.32;
4; N77.33;Dajanje pisarniške opreme in raèunalniških naprav v najem in zakup;Renting and leasing of office machinery and equipment (including computers); N77.3;
5; N77.330;Dajanje pisarniške opreme in raèunalniških naprav v najem in zakup;Renting and leasing of office machinery and equipment (including computers); N77.33;
4; N77.34;Dajanje vodnih plovil v najem in zakup;Renting and leasing of water transport equipment; N77.3;
5; N77.340;Dajanje vodnih plovil v najem in zakup;Renting and leasing of water transport equipment; N77.34;
4; N77.35;Dajanje zraènih plovil v najem in zakup;Renting and leasing of air transport equipment; N77.3;
5; N77.350;Dajanje zraènih plovil v najem in zakup;Renting and leasing of air transport equipment; N77.35;
4; N77.39;Dajanje drugih strojev, naprav in opredmetenih sredstev v najem in zakup;Renting and leasing of other machinery, equipment and tangible goods n.e.c.; N77.3;
5; N77.390;Dajanje drugih strojev, naprav in opredmetenih sredstev v najem in zakup;Renting and leasing of other machinery, equipment and tangible goods n.e.c.; N77.39;
