 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
3; C23.9;Proizvodnja brusilnih sredstev in drugih nekovinskih mineralnih izdelkov;Manufacture of abrasive products and non-metallic mineral products n.e.c.; C23;
4; C23.91;Proizvodnja brusilnih sredstev;Production of abrasive products; C23.9;
5; C23.910;Proizvodnja brusilnih sredstev;Production of abrasive products; C23.91;
4; C23.99;Proizvodnja drugih nekovinskih mineralnih izdelkov;Manufacture of other non-metallic mineral products n.e.c.; C23.9;
5; C23.990;Proizvodnja drugih nekovinskih mineralnih izdelkov;Manufacture of other non-metallic mineral products n.e.c.; C23.99;
2; C24;Proizvodnja kovin;Manufacture of basic metals; C;
3; C24.1;Proizvodnja surovega železa, jekla, ferozlitin;Manufacture of basic iron and steel and of ferro-alloys; C24;
4; C24.10;Proizvodnja surovega železa, jekla, ferozlitin;Manufacture of basic iron and steel and of ferro-alloys; C24.1;
5; C24.100;Proizvodnja surovega železa, jekla, ferozlitin;Manufacture of basic iron and steel and of ferro-alloys; C24.10;
3; C24.2;Proizvodnja jeklenih cevi, votlih profilov in fitingov;Manufacture of tubes, pipes, hollow profiles and related fittings, of steel; C24;
4; C24.20;Proizvodnja jeklenih cevi, votlih profilov in fitingov;Manufacture of tubes, pipes, hollow profiles and related fittings, of steel; C24.2;
5; C24.200;Proizvodnja jeklenih cevi, votlih profilov in fitingov;Manufacture of tubes, pipes, hollow profiles and related fittings, of steel; C24.20;
3; C24.3;Druga primarna predelava železa in jekla;Manufacture of other products of first processing of steel; C24;
4; C24.31;Hladno vleèenje profilov;Cold drawing of bars; C24.3;
5; C24.310;Hladno vleèenje profilov;Cold drawing of bars; C24.31;
4; C24.32;Hladno valjanje traku;Cold rolling of narrow strip; C24.3;
5; C24.320;Hladno valjanje traku;Cold rolling of narrow strip; C24.32;
4; C24.33;Hladno oblikovanje profilov in pregibanje;Cold forming or folding; C24.3;
5; C24.330;Hladno oblikovanje profilov in pregibanje;Cold forming or folding; C24.33;
4; C24.34;Hladno vleèenje žice;Cold drawing of wire; C24.3;
5; C24.340;Hladno vleèenje žice;Cold drawing of wire; C24.34;
3; C24.4;Proizvodnja plemenitih in drugih neželeznih kovin;Manufacture of basic precious and other non-ferrous metals; C24;
4; C24.41;Proizvodnja plemenitih kovin;Precious metals production; C24.4;
5; C24.410;Proizvodnja plemenitih kovin;Precious metals production; C24.41;
4; C24.42;Proizvodnja aluminija;Aluminium production; C24.4;
5; C24.420;Proizvodnja aluminija;Aluminium production; C24.42;
4; C24.43;Proizvodnja svinca, cinka in kositra;Lead, zinc and tin production; C24.4;
5; C24.430;Proizvodnja svinca, cinka in kositra;Lead, zinc and tin production; C24.43;
4; C24.44;Proizvodnja bakra;Copper production; C24.4;
